left_leg_upper,left_leg_lower,right_leg_upper,right_leg_lower,left_arm_upper,left_arm_lower,right_arm_upper,right_arm_lower,t_left_leg_upper,t_left_leg_lower,t_right_leg_upper,t_right_leg_lower,t_left_arm_upper,t_left_arm_lower,t_right_arm_upper,t_right_arm_lower
0.2500001,331,29.49998,349.0003,29.49998,60,320.9997,57.99997,0.1666667,330.6667,29.66665,349.3336,29.66665,60,320.6664,58.66663
0.1666667,330.6667,29.66665,349.3336,29.66665,60,320.6664,58.66663,0.08333341,330.3333,29.83331,349.667,29.83331,60,320.333,59.3333
0.08333341,330.3333,29.83331,349.667,29.83331,60,320.333,59.3333,0,330,29.99998,350,29.99998,60,320,59.99996
0,330,29.99998,350,29.99998,60,320,59.99996,359.6667,330.3333,30.49998,350.3333,30.33331,60.5,318.8333,59.66663
359.6667,330.3333,30.49998,350.3333,30.33331,60.5,318.8333,59.66663,359.3333,330.6667,30.99998,350.6667,30.66665,61,317.6667,59.3333
359.3333,330.6667,30.99998,350.6667,30.66665,61,317.6667,59.3333,359,331,31.49998,351,30.99998,61.5,316.5,58.99997
359,331,31.49998,351,30.99998,61.5,316.5,58.99997,358.6666,331.3334,31.99998,351.3334,31.33332,62,315.3334,58.66663
358.6666,331.3334,31.99998,351.3334,31.33332,62,315.3334,58.66663,358.3333,331.6667,32.49998,351.6667,31.66665,62.5,314.1667,58.3333
358.3333,331.6667,32.49998,351.6667,31.66665,62.5,314.1667,58.3333,357.9999,332.0001,32.99998,352.0001,31.99998,63,313.0001,57.99997
357.9999,332.0001,32.99998,352.0001,31.99998,63,313.0001,57.99997,357.6666,332.3334,33.49998,352.3334,32.33332,63.5,311.8334,57.66664
357.6666,332.3334,33.49998,352.3334,32.33332,63.5,311.8334,57.66664,357.3333,332.6667,33.99998,352.6667,32.66666,64,310.6667,57.33331
357.3333,332.6667,33.99998,352.6667,32.66666,64,310.6667,57.33331,356.9999,333.0001,34.49998,353.0001,32.99999,64.5,309.5001,56.99997
356.9999,333.0001,34.49998,353.0001,32.99999,64.5,309.5001,56.99997,356.6666,333.3334,34.99998,353.3334,33.33333,65,308.3334,56.66664
356.6666,333.3334,34.99998,353.3334,33.33333,65,308.3334,56.66664,356.3332,333.6668,35.49998,353.6668,33.66666,65.5,307.1668,56.33331
356.3332,333.6668,35.49998,353.6668,33.66666,65.5,307.1668,56.33331,355.9999,334.0001,35.99998,354.0001,34,66,306.0001,55.99998
355.9999,334.0001,35.99998,354.0001,34,66,306.0001,55.99998,355.6665,334.3335,36.49998,354.3335,34.33334,66.5,304.8335,55.66665
355.6665,334.3335,36.49998,354.3335,34.33334,66.5,304.8335,55.66665,355.3332,334.6668,36.99998,354.6668,34.66667,67,303.6668,55.33331
355.3332,334.6668,36.99998,354.6668,34.66667,67,303.6668,55.33331,354.9998,335.0002,37.49998,355.0002,35.00001,67.5,302.5002,54.99998
354.9998,335.0002,37.49998,355.0002,35.00001,67.5,302.5002,54.99998,354.6665,335.3335,37.99998,355.3335,35.33334,68,301.3335,54.66665
354.6665,335.3335,37.99998,355.3335,35.33334,68,301.3335,54.66665,354.3332,335.6668,38.49998,355.6668,35.66668,68.5,300.1668,54.33332
354.3332,335.6668,38.49998,355.6668,35.66668,68.5,300.1668,54.33332,353.9998,336.0002,38.99998,356.0002,36.00002,69,299.0002,53.99998
353.9998,336.0002,38.99998,356.0002,36.00002,69,299.0002,53.99998,353.6665,336.3335,39.49998,356.3335,36.33335,69.5,297.8335,53.66665
353.6665,336.3335,39.49998,356.3335,36.33335,69.5,297.8335,53.66665,353.3331,336.6669,39.99998,356.6669,36.66669,70,296.6669,53.33332
353.3331,336.6669,39.99998,356.6669,36.66669,70,296.6669,53.33332,352.9998,337.0002,40.49998,357.0002,37.00002,70.5,295.5002,52.99999
352.9998,337.0002,40.49998,357.0002,37.00002,70.5,295.5002,52.99999,352.6664,337.3336,40.99998,357.3336,37.33336,71,294.3336,52.66666
352.6664,337.3336,40.99998,357.3336,37.33336,71,294.3336,52.66666,352.3331,337.6669,41.49998,357.6669,37.66669,71.5,293.1669,52.33332
352.3331,337.6669,41.49998,357.6669,37.66669,71.5,293.1669,52.33332,351.9998,338.0002,41.99998,358.0002,38.00003,72,292.0002,51.99999
351.9998,338.0002,41.99998,358.0002,38.00003,72,292.0002,51.99999,351.6664,338.3336,42.49998,358.3336,38.33337,72.5,290.8336,51.66666
351.6664,338.3336,42.49998,358.3336,38.33337,72.5,290.8336,51.66666,351.3331,338.6669,42.99998,358.6669,38.6667,73,289.6669,51.33333
351.3331,338.6669,42.99998,358.6669,38.6667,73,289.6669,51.33333,350.9997,339.0003,43.49998,359.0003,39.00004,73.5,288.5003,51
350.9997,339.0003,43.49998,359.0003,39.00004,73.5,288.5003,51,350.6664,339.3336,43.99998,359.3336,39.33337,74,287.3336,50.66666
